sku,price,price_tienda,price_tarjeta,retail,date,time
889683,28.9,,,wong,2022-08-21,23:00
889682,28.9,,,wong,2022-08-21,23:00
953915,14.4,,,wong,2022-08-21,23:00
953916,14.4,,,wong,2022-08-21,23:00
889678,19.9,,,wong,2022-08-21,23:00
889679,21.9,,,wong,2022-08-21,23:00
904720,17.9,,,wong,2022-08-21,23:00
923936,38.1,,,wong,2022-08-21,23:00
923937,38.1,,,wong,2022-08-21,23:00
710502,1.5,,,wong,2022-08-21,23:00
317712,20.2,,,wong,2022-08-21,23:00
949133,,,,wong,2022-08-21,23:00
722253,,,,wong,2022-08-21,23:00
709559,25.99,27.0,,wong,2022-08-21,23:00
792355,19.5,,,wong,2022-08-21,23:00
10456593,,,,tottus,2022-08-21,23:00
40165682,5.5,5.9,,tottus,2022-08-21,23:00
40475131,5.2,6.1,,tottus,2022-08-21,23:00
40619679,,,,tottus,2022-08-21,23:00
20081314,,,,tottus,2022-08-21,23:00
20038103,,,,tottus,2022-08-21,23:00
40844765,5.5,6.3,,tottus,2022-08-21,23:00
40723206,,,,tottus,2022-08-21,23:00
42529463,7.0,7.5,,tottus,2022-08-21,23:00
41462556,,,,tottus,2022-08-21,23:00
41660796,,,,tottus,2022-08-21,23:00
10174358,,,,tottus,2022-08-21,23:00
41011026,,,,tottus,2022-08-21,23:00
40678085,5.5,6.6,,tottus,2022-08-21,23:00
40784897,5.5,6.6,,tottus,2022-08-21,23:00
42198066,,,,tottus,2022-08-21,23:00
40707429,5.5,5.9,,tottus,2022-08-21,23:00
40707464,5.5,5.9,,tottus,2022-08-21,23:00
40606157,,,,tottus,2022-08-21,23:00
42508149,10.7,10.9,,tottus,2022-08-21,23:00
20056328,,,,tottus,2022-08-21,23:00
10174382,,,,tottus,2022-08-21,23:00
41223743,,,,tottus,2022-08-21,23:00
41057710,,,,tottus,2022-08-21,23:00
20067694,,,,tottus,2022-08-21,23:00
10166534,,,,tottus,2022-08-21,23:00
41253855,,,,tottus,2022-08-21,23:00
41971594,,,,tottus,2022-08-21,23:00
41971595,,,,tottus,2022-08-21,23:00
41971592,,,,tottus,2022-08-21,23:00
41971591,,,,tottus,2022-08-21,23:00
41653172,,,,tottus,2022-08-21,23:00
41223742,,,,tottus,2022-08-21,23:00
41856562,1.8,2.0,,tottus,2022-08-21,23:00
41653173,,,,tottus,2022-08-21,23:00
41223744,,,,tottus,2022-08-21,23:00
10164287,,,,tottus,2022-08-21,23:00
10164298,,,,tottus,2022-08-21,23:00
41223745,,,,tottus,2022-08-21,23:00
41971600,,,,tottus,2022-08-21,23:00
41971601,,,,tottus,2022-08-21,23:00
41724133,28.9,29.7,,tottus,2022-08-21,23:00
41846255,5.3,5.9,,tottus,2022-08-21,23:00
10166496,,,,tottus,2022-08-21,23:00
42261046,14.5,15.5,,tottus,2022-08-21,23:00
41971598,,,,tottus,2022-08-21,23:00
41971597,,,,tottus,2022-08-21,23:00
41253838,,,,tottus,2022-08-21,23:00
42001774,16.0,19.3,,tottus,2022-08-21,23:00
40165715,5.3,5.9,,tottus,2022-08-21,23:00
41215955,14.5,16.9,,tottus,2022-08-21,23:00
41971589,,,,tottus,2022-08-21,23:00
42033447,,,,tottus,2022-08-21,23:00
42139790,,,,tottus,2022-08-21,23:00
41844775,,,,tottus,2022-08-21,23:00
42160290,,,,tottus,2022-08-21,23:00
41431144,,,,tottus,2022-08-21,23:00
41215944,9.9,11.6,,tottus,2022-08-21,23:00
41057709,26.0,27.0,,tottus,2022-08-21,23:00
42139789,,,,tottus,2022-08-21,23:00
42029419,9.9,11.7,,tottus,2022-08-21,23:00
42226676,,,,tottus,2022-08-21,23:00
42069410,,,,tottus,2022-08-21,23:00
42029418,9.9,11.7,,tottus,2022-08-21,23:00
42508150,,,,tottus,2022-08-21,23:00
42179599,,,,tottus,2022-08-21,23:00
42179598,,,,tottus,2022-08-21,23:00
41885690,,,,tottus,2022-08-21,23:00
10164146,,,,tottus,2022-08-21,23:00
10165713,8.5,9.0,,tottus,2022-08-21,23:00
40475132,,,,tottus,2022-08-21,23:00
40846153,,,,tottus,2022-08-21,23:00
30001721,,,,tottus,2022-08-21,23:00
40723205,,,,tottus,2022-08-21,23:00
42435553,,,,tottus,2022-08-21,23:00
40165721,5.3,5.9,,tottus,2022-08-21,23:00
10164192,,,,tottus,2022-08-21,23:00
40170065,,,,tottus,2022-08-21,23:00
30007189,,,,tottus,2022-08-21,23:00
20067693,,,,tottus,2022-08-21,23:00
40784896,,,,tottus,2022-08-21,23:00
40458462,,,,tottus,2022-08-21,23:00
41817146,,,,tottus,2022-08-21,23:00
41817145,,,,tottus,2022-08-21,23:00
40433005,,,,tottus,2022-08-21,23:00
41231969,,,,tottus,2022-08-21,23:00
41494911,,,,tottus,2022-08-21,23:00
41541163,,,,tottus,2022-08-21,23:00
41963638,,,,tottus,2022-08-21,23:00
40458461,,,,tottus,2022-08-21,23:00
41891666,,,,tottus,2022-08-21,23:00
41365896,,,,tottus,2022-08-21,23:00
41541162,,,,tottus,2022-08-21,23:00
42110368,,,,tottus,2022-08-21,23:00
41494910,,,,tottus,2022-08-21,23:00
30003045,,,,tottus,2022-08-21,23:00
40981103,,,,tottus,2022-08-21,23:00
42434386,19.5,19.9,18.5 CMR,tottus,2022-08-21,23:00
20081137,7.2,8.0,,tottus,2022-08-21,23:00
10308463,,,,tottus,2022-08-21,23:00
40319453,,,,tottus,2022-08-21,23:00
40606159,,,,tottus,2022-08-21,23:00
41028799,9.9,10.9,,tottus,2022-08-21,23:00
40701705,,,,tottus,2022-08-21,23:00
10428497,,,,tottus,2022-08-21,23:00
41867518,,,,tottus,2022-08-21,23:00
42497473,,,,tottus,2022-08-21,23:00
41639050,,,,tottus,2022-08-21,23:00
40165685,5.3,5.9,,tottus,2022-08-21,23:00
41817144,,,,tottus,2022-08-21,23:00
41963641,,,,tottus,2022-08-21,23:00
42685717,,,,tottus,2022-08-21,23:00
42686886,,,,tottus,2022-08-21,23:00
42685708,,,,tottus,2022-08-21,23:00
42686879,,,,tottus,2022-08-21,23:00
42685713,,,,tottus,2022-08-21,23:00
42419882,,,,tottus,2022-08-21,23:00
42686878,,,,tottus,2022-08-21,23:00
42685711,,,,tottus,2022-08-21,23:00
42287575,,,,tottus,2022-08-21,23:00
42287577,,,,tottus,2022-08-21,23:00
42734843,,,,tottus,2022-08-21,23:00
42287576,,,,tottus,2022-08-21,23:00
42083774,199.9,289.9,,tottus,2022-08-21,23:00
42685710,,,,tottus,2022-08-21,23:00
42686877,,,,tottus,2022-08-21,23:00
42686882,,,,tottus,2022-08-21,23:00
42685709,,,,tottus,2022-08-21,23:00
42734845,,,,tottus,2022-08-21,23:00
985158,11.8,11.8,,vivanda,2022-08-21,23:00
20035109,13.5,13.5,,vivanda,2022-08-21,23:00
20109809,13.5,13.5,,vivanda,2022-08-21,23:00
20136609,7.59,7.59,,vivanda,2022-08-21,23:00
20102589,11.8,11.8,,vivanda,2022-08-21,23:00
20136607,7.59,7.59,,vivanda,2022-08-21,23:00
20102587,11.8,11.8,,vivanda,2022-08-21,23:00
20109811,13.5,13.5,,vivanda,2022-08-21,23:00
20189584,9.9,10.8,,vivanda,2022-08-21,23:00
20109810,13.5,13.5,,vivanda,2022-08-21,23:00
20237872,10.8,10.8,,vivanda,2022-08-21,23:00
73035,6.6,6.6,,vivanda,2022-08-21,23:00
118819,7.5,7.5,,vivanda,2022-08-21,23:00
20102588,11.8,11.8,,vivanda,2022-08-21,23:00
281027,2.7,2.7,,vivanda,2022-08-21,23:00
20075684,5.5,6.0,,vivanda,2022-08-21,23:00
20104096,,10.5,,vivanda,2022-08-21,23:00
20147381,28.9,29.7,,vivanda,2022-08-21,23:00
76296,6.6,6.6,,vivanda,2022-08-21,23:00
20038203,6.6,6.6,,vivanda,2022-08-21,23:00
20200659,8.9,9.9,,vivanda,2022-08-21,23:00
36232,5.9,7.9,,vivanda,2022-08-21,23:00
20139555,4.7,4.7,,vivanda,2022-08-21,23:00
21130,11.2,11.2,,vivanda,2022-08-21,23:00
35671,5.9,5.9,,vivanda,2022-08-21,23:00
20144884,5.9,5.9,,vivanda,2022-08-21,23:00
20073642,,2.4,,vivanda,2022-08-21,23:00
20281280,8.0,8.0,,vivanda,2022-08-21,23:00
20111230,4.7,4.7,,vivanda,2022-08-21,23:00
987050,,,,vivanda,2022-08-21,23:00
20057688,2.19,2.19,,vivanda,2022-08-21,23:00
2598,,2.2,,vivanda,2022-08-21,23:00
20052607,5.5,6.0,,vivanda,2022-08-21,23:00
20111231,4.7,4.7,,vivanda,2022-08-21,23:00
20099163,,2.7,,vivanda,2022-08-21,23:00
382618,2.19,2.19,,vivanda,2022-08-21,23:00
20281275,8.0,8.0,,vivanda,2022-08-21,23:00
109849,20.2,20.2,,vivanda,2022-08-21,23:00
20171726,1.6,2.0,,vivanda,2022-08-21,23:00
121306,20.2,20.2,,vivanda,2022-08-21,23:00
5063,5.9,5.9,,vivanda,2022-08-21,23:00
20147045,,,,vivanda,2022-08-21,23:00
21186,11.2,11.2,,vivanda,2022-08-21,23:00
497497,2.7,2.7,,vivanda,2022-08-21,23:00
20238212,2.15,2.15,,vivanda,2022-08-21,23:00
20147047,28.9,29.7,,vivanda,2022-08-21,23:00
20238211,7.5,7.5,,vivanda,2022-08-21,23:00
20236365,,,,vivanda,2022-08-21,23:00
20016507,8.0,8.0,,vivanda,2022-08-21,23:00
49731,4.9,5.5,,vivanda,2022-08-21,23:00
20073646,8.5,9.0,,vivanda,2022-08-21,23:00
20193576,3.9,3.9,,vivanda,2022-08-21,23:00
20206043,14.5,15.3,,vivanda,2022-08-21,23:00
20138395,1.5,1.5,,vivanda,2022-08-21,23:00
20102556,26.0,27.0,,vivanda,2022-08-21,23:00
109850,20.2,20.2,,vivanda,2022-08-21,23:00
20057689,7.5,7.5,,vivanda,2022-08-21,23:00
20237874,10.8,10.8,,vivanda,2022-08-21,23:00
20236367,5.9,5.9,,vivanda,2022-08-21,23:00
20181633,4.5,4.5,,vivanda,2022-08-21,23:00
20200922,4.5,4.5,,vivanda,2022-08-21,23:00
20200920,4.5,4.5,,vivanda,2022-08-21,23:00
NONE,,,,vivanda,2022-08-21,23:00
20073702,2.4,2.4,,vivanda,2022-08-21,23:00
987120,6.6,6.6,,vivanda,2022-08-21,23:00
20033047,1.9,1.9,,vivanda,2022-08-21,23:00
20075143,3.0,3.0,,vivanda,2022-08-21,23:00
20183308,16.0,17.9,,vivanda,2022-08-21,23:00
20193504,3.5,3.5,,vivanda,2022-08-21,23:00
20112605,1.8,1.8,,vivanda,2022-08-21,23:00
20040552,,,,vivanda,2022-08-21,23:00
20089515,5.5,5.5,,vivanda,2022-08-21,23:00
20073647,6.0,6.0,,vivanda,2022-08-21,23:00
20075138,3.5,3.5,,vivanda,2022-08-21,23:00
20080972,3.49,3.49,,vivanda,2022-08-21,23:00
20074010,6.0,6.0,,vivanda,2022-08-21,23:00
20073195,1.5,1.5,,vivanda,2022-08-21,23:00
64718,2.2,2.2,,vivanda,2022-08-21,23:00
64719,,2.2,,vivanda,2022-08-21,23:00
20206034,17.9,17.9,,vivanda,2022-08-21,23:00
20199965,4.5,4.5,,vivanda,2022-08-21,23:00
20193507,3.5,3.5,,vivanda,2022-08-21,23:00
20193797,4.5,4.5,,vivanda,2022-08-21,23:00
20193796,4.5,4.5,,vivanda,2022-08-21,23:00
20183299,16.0,17.9,,vivanda,2022-08-21,23:00
3415,5.2,5.2,,vivanda,2022-08-21,23:00
29856,7.5,7.5,,vivanda,2022-08-21,23:00
20075137,5.5,5.5,,vivanda,2022-08-21,23:00
20073986,6.0,6.0,,vivanda,2022-08-21,23:00
131912,27.9,29.1,,vivanda,2022-08-21,23:00
20241176,8.9,8.9,,vivanda,2022-08-21,23:00
20191564,10.9,10.9,,vivanda,2022-08-21,23:00
K0000000553,37.6,40.4,,vivanda,2022-08-21,23:00
K0000001759,13.9,15.6,,vivanda,2022-08-21,23:00
K0000000285,32.9,38.9,,vivanda,2022-08-21,23:00
K0000000263,59.9,68.9,,vivanda,2022-08-21,23:00
20162595,51.9,51.9,,vivanda,2022-08-21,23:00
K0000001752,13.9,15.6,,vivanda,2022-08-21,23:00
K0000001755,13.9,15.6,,vivanda,2022-08-21,23:00
20280275,44.9,44.9,,vivanda,2022-08-21,23:00
K0000000461,19.0,23.6,,vivanda,2022-08-21,23:00
K0000001753,13.9,15.6,,vivanda,2022-08-21,23:00
K0000001763,13.9,15.6,,vivanda,2022-08-21,23:00
K0000000554,37.6,40.4,,vivanda,2022-08-21,23:00
K0000000462,19.0,23.6,,vivanda,2022-08-21,23:00
K0000000555,37.6,40.4,,vivanda,2022-08-21,23:00
K0000000087,45.9,52.5,,vivanda,2022-08-21,23:00
K0000002085,9.8,12.1,,vivanda,2022-08-21,23:00
K0000001760,13.9,15.6,,vivanda,2022-08-21,23:00
K0000001756,13.9,15.6,,vivanda,2022-08-21,23:00
K0000001762,13.9,15.6,,vivanda,2022-08-21,23:00
K0000001003,9.9,11.9,,vivanda,2022-08-21,23:00
K0000000968,9.9,11.9,,vivanda,2022-08-21,23:00
K0000000560,24.8,27.0,,vivanda,2022-08-21,23:00
