description,sku,retail,uri,price_type
Gaseosa FANTA KOLA INGLESA Botella 3L,20057689,plaza_vea,https://www.plazavea.com.pe/gaseosa-fanta-kola-inglesa-botella-3l/p,tienda
Gaseosa FANTA Naranja Botella 3L,29856,plaza_vea,https://www.plazavea.com.pe/gaseosa-fanta-naranja-botella-3l/p,tienda
Pack Pizza Carnívora Familiar LA FLORENCIA + Gaseosa COCA COLA Botella 1L,K0000000773,plaza_vea,https://www.plazavea.com.pe/pack-pizza-carnivora-familiar-la-florencia-gaseosa-coca-cola-botella-1l/p,tienda
Pack Pizza Carnívora Familiar LA FLORENCIA + Gaseosa COCA COLA Sin Azúcar Botella 1L,K0000000776,plaza_vea,https://www.plazavea.com.pe/pack-pizza-carnivora-familiar-la-florencia-gaseosa-coca-cola-sin-azucar-botella-1l/p,tienda
Pack JOHNNIE WALKER Whisky Red Label Botella 750ml + Gaseosa EVERVESS Ginger Ale Botella 1.5L,s000000163,plaza_vea,https://www.plazavea.com.pe/pack-johnnie-walker-whisky-red-label-botella-750ml-gaseosa-evervess-ginger-ale-botella-1-5l/p,tienda
Pack Gaseosa PEPSI Botella 1.5L + Snack Papas Fritas LAY'S Clásicas Bolsa 160g,K0000004283,plaza_vea,https://www.plazavea.com.pe/pack-gaseosa-pepsi-botella-1-5l-snack-papas-fritas-lays-clasicas-bolsa-160g/p,tienda
Pack Ron BACARDÍ Carta de Oro Botella 750ml + Gaseosa COCA COLA Botella 1.5L,K0000003371,plaza_vea,https://www.plazavea.com.pe/pack-ron-bacardi-carta-de-oro-botella-750ml-gaseosa-coca-cola-botella-1-5l/p,tienda
Pack Pizza Carnívora Familiar LA FLORENCIA + Gaseosa INCA KOLA Sin Azúcar Botella 1L,K0000000775,plaza_vea,https://www.plazavea.com.pe/pack-pizza-carnivora-familiar-la-florencia-gaseosa-inca-kola-sin-azucar-botella-1l/p,tienda
Pack Pizza Carnívora Familiar LA FLORENCIA + Gaseosa INCA KOLA Botella 1L,K0000000774,plaza_vea,https://www.plazavea.com.pe/pack-pizza-carnivora-familiar-la-florencia-gaseosa-inca-kola-botella-1l/p,tienda
Pack Pizza Alemana LA FLORENCIA + Gaseosa COCA COLA Sin Azúcar Botella 1L,K0000000772,plaza_vea,https://www.plazavea.com.pe/pack-pizza-alemana-la-florencia-gaseosa-coca-cola-sin-azucar-botella-1l/p,tienda
Pack Pizza Alemana LA FLORENCIA + Gaseosa INCA KOLA Sin Azúcar Botella 1L,K0000000771,plaza_vea,https://www.plazavea.com.pe/pack-pizza-alemana-la-florencia-gaseosa-inca-kola-sin-azucar-botella-1l/p,tienda
Pack Pizza Alemana LA FLORENCIA + Gaseosa INCA KOLA Botella 1L,K0000000770,plaza_vea,https://www.plazavea.com.pe/pack-pizza-alemana-la-florencia-gaseosa-inca-kola-botella-1l/p,tienda
Pack Pizza Alemana LA FLORENCIA + Gaseosa COCA COLA Botella 1L,K0000000769,plaza_vea,https://www.plazavea.com.pe/pack-pizza-alemana-la-florencia-gaseosa-coca-cola-botella-1l/p,tienda
Whisky JOHNNIE WALKER Red Label Botella 750ml + Gaseosa EVERVESS Ginger Ale Botella 1.5L + Vaso Highball,20205676,plaza_vea,https://www.plazavea.com.pe/whisky-johnnie-walker-red-label-botella-750mlgaseosa-evervess-ginger-ale-botella-1-5lvaso-highball/p,tienda
Accesorio MINIONS Pistola Gaseosa Súper Tor-Pedo,20199271,plaza_vea,https://www.plazavea.com.pe/pistola-de-gases-minions-super-torpedo-gmf93/p,tienda
Pack JOHNNIE WALKER Whisky Black Label 750ml + Gaseosa EVERVESS Ginger Ale 1.5L,S000000311,plaza_vea,https://www.plazavea.com.pe/pack-johnnie-walker-whisky-black-label-750ml-gaseosa-evervess-ginger-ale-1-5l/p,tienda
1/4 Pollo Rostizado Wong con Papas fritas + Gaseosa 300 ml,567971,wong,https://www.wong.pe/1-4-pollo-rostizado-wong-con-papas-fritas-mas-gaseosa-300-ml-567971-2/p,tienda
2 Pollos Rostizados Wong + 2 Porciones de Papas fritas (400 g c/u) + Gaseosa 1.5 Litro,567974,wong,https://www.wong.pe/2-pollos-rostizados-wong-mas-2-porciones-de-papas-fritas-400-g-c-u-mas-gaseosa-1-5-litro-567974-2/p,tienda
2 Pollos Rostizados Wong + 2 Porciones de Papa fritas (400 g c/u) + Ensalada + Gaseosa 1.5 Litro,567977,wong,https://www.wong.pe/2-pollos-rostizados-wong-2-porciones-de-papa-fritas-400-g-c-u-ensalada-gaseosa-1-5-litro-2/p,tienda
Pollo Rostizado Wong + Porción de Papas fritas (400 g ) + Gaseosa 1.5 Litro,567987,wong,https://www.wong.pe/pollo-rostizado-wong-porcion-de-papas-fritas-400-g-gaseosa-1-5-litro-567987/p,tienda
Pollo Rostizado Wong + Porción de Papas fritas (400 g ) + Ensalada + Gaseosa 1.5 Litro,567991,wong,https://www.wong.pe/pollo-rostizado-wong-porcion-de-papas-fritas-400-g-ensalada-gaseosa-1-5-litro-567991/p,tienda
Gaseosa Inca Kola Sin Azúcar Botella 300 ml Pack 6 unid,713719,wong,https://www.wong.pe/gaseosa-inca-kola-sin-azucar-botella-300-ml-pack-6-unid-713719/p,tienda
Gaseosa Inca Kola Sin Azúcar Botella 1.5 Lt Pack de 2 unid,517411,wong,https://www.wong.pe/gaseosa-inca-kola-sin-azucar-botella-1-5-lt-pack-de-2-unid-517411/p,tienda
Gaseosa Coca Cola Botella 1.5L,59536002,wong,https://www.wong.pe/gaseosa-coca-cola-botella-1-5l-59536002/p,tienda
Gaseosa Inca Kola Botella 1.5 Lt Pack de 2 unid,517410,wong,https://www.wong.pe/gaseosa-inca-kola-botella-1-5-lt-pack-de-2-unid-517410/p,tienda
Gaseosa Schweppes Citrus Botella 1.5 Lt Pack de 2 unid,772390,wong,https://www.wong.pe/gaseosa-schweppes-citrus-botella-1-5-lt-pack-de-2-unid/p,tienda
Gaseosa Inca Kola Sin Azúcar Botella 1.5L,418033,wong,https://www.wong.pe/gaseosa-inca-kola-sin-azucar-botella-1-5l-418033/p,tienda
Gaseosa Inca Kola Sin Azúcar Botella 2.5L,969015,wong,https://www.wong.pe/gaseosa-inca-kola-sin-azucar-botella-2-5l-969015/p,tienda
Gaseosa Fanta Naranja Botella 500 ml Pack 6 unid,942302,wong,https://www.wong.pe/gaseosa-fanta-naranja-botella-500-ml-pack-6-unid-942302/p,tienda
Gaseosa Concordia Sabor Piña Botella 3 Litros,472088,wong,https://www.wong.pe/gaseosa-concordia-sabor-pina-botella-3-litros-472088/p,tienda
Gaseosa Fanta Botella 2.25 Lt,3817,wong,https://www.wong.pe/gaseosa-fanta-botella-2-25-lt-3817/p,tienda
Gaseosa Inca Kola Botella 1.5L,59538001,wong,https://www.wong.pe/gaseosa-inca-kola-botella-1-5l-59538001/p,tienda
Gaseosa Coca Cola Sin Azúcar Botella 1.5L,203646,wong,https://www.wong.pe/gaseosa-coca-cola-sin-azucar-botella-1-5l-203646/p,tienda
Gaseosa Sprite Botella 3 Lt,159727,wong,https://www.wong.pe/gaseosa-sprite-botella-3-lt-159727/p,tienda
Gaseosa Fanta Botella 500ml,13188,wong,https://www.wong.pe/gaseosa-fanta-botella-500ml-13188/p,tienda
Gaseosa Guaranita Botella 300 ml,703743,wong,https://www.wong.pe/gaseosa-guaranita-botella-300-ml/p,tienda
Gaseosa Sabor Piña Concordia Pack 6 Botellas de 500ml c/u,889646,wong,https://www.wong.pe/gaseosa-sabor-pina-concordia-pack-6-botellas-de-500ml-c-u/p,tienda
Gaseosa Pepsi Black Botella 3 Litros,710504,wong,https://www.wong.pe/gaseosa-pepsi-black-botella-3-litros-710504/p,tienda
Gaseosa Inca Kola Botella 3 Lt Pack de 2 unid,148357,wong,https://www.wong.pe/gaseosa-inca-kola-botella-3-lt-pack-de-2-unid-148357/p,tienda
Gaseosa Fanta Botella 3 Lt,62288,wong,https://www.wong.pe/gaseosa-fanta-botella-3-lt-62288/p,tienda
Gaseosa Inca Kola Pet 2.5 L,953914,wong,https://www.wong.pe/gaseosa-inca-kola-pet-2-5-l-953914-2/p,tienda
Gaseosa Fanta Piña Botella 3 L,944474,wong,https://www.wong.pe/gaseosa-fanta-pina-botella-3-l-944474/p,tienda
Gaseosa 6 Botellas de 500ml c/u,889645,wong,https://www.wong.pe/gaseosa-6-botellas-de-500ml-c-u/p,tienda
Gaseosa Canada Dry Ginger Ale Lata 355 ml,749654,wong,https://www.wong.pe/gaseosa-canada-dry-ginger-ale-lata-355-ml-749654/p,tienda
Gaseosa Pepsi Mix Two + Pack Pepsi Botella 3 L + 7up Botella 3 L,520834,wong,https://www.wong.pe/gaseosa-pepsi-mix-two-pack-pepsi-botella-3-l-7up-botella-3-l-520834/p,tienda
Gaseosa Pepsi Botella 500 ml,103181,wong,https://www.wong.pe/gaseosa-pepsi-botella-500-ml-103181/p,tienda
Gaseosa Pepsi Botella 3 L,63807,wong,https://www.wong.pe/gaseosa-pepsi-botella-3-l-63807/p,tienda
Gaseosa Pepsi Botella 1.5 L,3824,wong,https://www.wong.pe/gaseosa-pepsi-botella-1-5-l-3824/p,tienda
Gaseosa Coca Cola Botella 2.5 Lt,388713,wong,https://www.wong.pe/gaseosa-coca-cola-botella-2-5-lt/p,tienda
Gaseosa Coca Cola Botella 1.5 Lt + Petit Pan La Panadería Bolsa 25 unid,499900,wong,https://www.wong.pe/petit-pan-la-panaderia-bolsa-25-unid-mas-coca-cola-regular-1-5-litro-499900/p,tienda
Gaseosa Schweppes Ginger Ale Botella 500 ml,465586,wong,https://www.wong.pe/gaseosa-schweppes-ginger-ale-botella-500-ml-465586/p,tienda
Gaseosa Schweppes Citrus Botella 1.5L,465585,wong,https://www.wong.pe/gaseosa-schweppes-citrus-botella-1-5l-465585/p,tienda
Gaseosa Guarana Botella 3 L,65761,wong,https://www.wong.pe/gaseosa-guarana-botella-3-l-65761/p,tienda
Gaseosa 7Up Botella 500 ml,15775,wong,https://www.wong.pe/gaseosa-7up-botella-500-ml-15775/p,tienda
Gaseosa Coca Cola Sin Azúcar Botella 300ml Pack 6un,713717,wong,https://www.wong.pe/gaseosa-coca-cola-sin-azucar-botella-300ml-pack-6un-713717/p,tienda
Gaseosa Inca Kola Zero Six Pack 500ml c/u,535862,wong,https://www.wong.pe/gaseosa-inca-kola-zero-six-pack-500ml-cu-535862/p,tienda
Gaseosa Coca Cola Sin Azúcar Botella 500ml Pack 6un,535860,wong,https://www.wong.pe/gaseosa-coca-cola-sin-azucar-botella-500ml-pack-6un-535860/p,tienda
Gaseosa Coca Cola Sin Azúcar Botella 1.5 Lt Pack 2 unid,206097,wong,https://www.wong.pe/gaseosa-coca-cola-sin-azucar-botella-1-5-lt-pack-2-unid-206097/p,tienda
Gaseosa Coca Cola Botella 500ml Pack de 6un,414938,wong,https://www.wong.pe/gaseosa-coca-cola-botella-500ml-pack-de-6un-414938/p,tienda
Gaseosa Inca Kola Botella 500 ml Pack de 6 unid,535861,wong,https://www.wong.pe/gaseosa-inca-kola-botella-500-ml-pack-de-6-unid-535861/p,tienda
Gaseosa Coca Cola Botella 1 Lt,358463,wong,https://www.wong.pe/gaseosa-coca-cola-botella-1-lt/p,tienda
Gaseosa Inca Kola Botella 500ml,59539001,wong,https://www.wong.pe/gaseosa-inca-kola-botella-500ml-59539001/p,tienda
